name,protein_cheese_sub,salad_allium,fruit,veg,"“CHEESE,” VEGAN",AÇAI,"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)","ALMONDS, MARCONA","APPLES (and APPLE CIDER, APPLE JUICE and/or APPLESAUCE)","APRICOTS (see also APRICOTS, DRIED)",ARUGULA (aka ROCKET),AVOCADO,BANANAS,BEETS,"BELL PEPPERS—IN GENERAL, or MIXED",BLACKBERRIES (see also BERRIES),BLUEBERRIES,"BREAD CRUMBS, PANKO","BREAD CRUMBS, WHOLE-GRAIN",BROCCOLI,BROCCOLI RABE (aka BROCCOLI RAAB or RAPINI),BROCCOLINI,"CABBAGE, CHINESE (aka NAPA CABBAGE; see also BOK CHOY)","CABBAGE, GREEN","CABBAGE, RED",CARROTS,CASHEWS and CASHEW NUT BUTTER,CAULIFLOWER,CELERY,"CHEESE, CHEDDAR","CHEESE, FETA","CHEESE, GOAT","CHEESE, PARMESAN","CHEESE, PECORINO","CHEESE, SMOKED MOZZARELLA","CHERRIES, SOUR and SWEET",CHESTNUTS,CHIA SEEDS,CHIVES,"CHIVES, GARLIC (aka CHINESE CHIVES)",CILANTRO (aka CHINESE PARSLEY or FRESH CORIANDER LEAF),"COCONUT, COCONUT CREAM, and COCONUT MILK (see also COCONUT BUTTER, COCONUT NECTAR, COCONUT WATER, and MILK, COCONUT)",CORN,CRANBERRIES,CUCUMBERS,DAIKON,DATES,"EGGS, HARD-BOILED",ENDIVE (aka BELGIAN ENDIVE),FENNEL,FENNEL FRONDS (or LEAVES),"FIGS (see also FIGS, DRIED)",FLAXSEEDS,"FLOWERS, EDIBLE",GARLIC,GARLIC SCAPES,"GARLIC, BLACK","GARLIC, GREEN (aka BABY GARLIC or SPRING GARLIC)",GRAPEFRUIT,GRAPES (and GRAPE JUICE),"GREENS, DANDELION",HAZELNUTS (aka FILBERTS),HUCKLEBERRIES,KAFFIR LIME and KAFFIR LIME LEAVES,"KELP, KELP GRANULES, and KELP POWDER (see also ARAME, KOMBU, SEA VEGETABLES, and WAKAME)",KIWI (aka KIWIFRUIT),KUMQUAT,LEEKS,LEMONS,"LEMONS, MEYER","LETTUCE, BUTTER (aka BIBB or BOSTON LETTUCE)","LETTUCE, LAMB’S (aka CORN SALAD or MCHE)","LETTUCE, ROMAINE","LIMES (e.g., JUICE, ZEST)",MANGOES,"MELON, CANTALOUPE","MELON, HONEYDEW","MELON, WINTER","MUSHROOMS, BUTTON (aka WHITE MUSHROOMS)","MUSHROOMS, PORTOBELLO",NECTARINES (see also tips for PEACHES),NORI (aka LAVER),NUTRITIONAL YEAST (aka affectionately as NOOCH),"NUTS, BRAZIL","NUTS, MACADAMIA","OIL, COCONUT","OIL, FLAXSEED","OIL, OLIVE","OIL, SESAME","OLIVES, KALAMATA","OLIVES, MANZANILLA (aka SPANISH OLIVES)","OLIVES, NIÇOISE","OLIVES, PICHOLINE","ONIONS, CIPOLLINI","ONIONS, PEARL","ONIONS, RED (see also ONIONS)","ONIONS, SPRING (see also SCALLIONS)","ONIONS, VIDALIA","ORANGES, BLOOD (see also ORANGES)","ORANGES, MANDARIN","ORANGES, ORANGE JUICE, and ORANGE ZEST","PAPAYA (i.e., RED)",PASSION FRUIT,PEACHES,PEANUTS and PEANUT BUTTER,PEARS—IN GENERAL,PECANS,"PEPPER, BLACK","PEPPER, ESPELETTE","PEPPER, SZECHUAN","PEPPER, WHITE",PINE NUTS (aka PIGNOLI),PINEAPPLE,PISTACHIOS,PLUMS,"PLUMS, DRIED (aka PRUNES) and DRIED PLUM PUREE",POMEGRANATES and POMEGRANATE JUICE (see also POMEGRANATE MOLASSES),RADISHES—IN GENERAL (see also DAIKON),RAISINS,RASPBERRIES,SALAD DRESSINGS,"SALT, BLACK","SALT, HIMALAYAN","SALT, KOSHER","SALT, SEA","SALT, SMOKED","SALT, TRUFFLE",SCALLIONS (aka GREEN ONIONS or SPRING ONIONS),"SEEDS, HEMP","SEEDS, PUMPKIN","SEEDS, SUNFLOWER",SHALLOTS,SNOW PEAS (aka CHINESE PEA PODS) (see also SUGAR SNAP PEAS),SORREL,SPINACH,"SPROUTS, ALFALFA","SPROUTS, BROCCOLI","SPROUTS, CHICKPEA","SPROUTS, CLOVER","SPROUTS, DAIKON (see also SPROUTS, RADISH)","SPROUTS, LENTIL","SPROUTS, PEA","SPROUTS, SUNFLOWER SEED",STAR FRUIT (aka CARAMBOLA),STRAWBERRIES,SUGAR SNAP PEAS (aka SNAP PEAS),"TOMATOES, SUN-DRIED (or OVEN-DRIED TOMATOES)","TOMATOES, TOMATO JUICE, TOMATO PASTE, and TOMATO SAUCE","VINEGAR, APPLE CIDER (aka VINEGAR, CIDER)","VINEGAR, BALSAMIC","VINEGAR, BROWN RICE (aka CHINESE BLACK VINEGAR)","VINEGAR, RED WINE (see also VINEGAR, WINE–IN GENERAL)","VINEGAR, RICE (WINE)","VINEGAR, SHERRY","VINEGAR, WINE—IN GENERAL",WALNUTS,WATERMELON,"ZUCCHINI (see also SQUASH, SUMMER)"
SALAD DRESSINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SALT, BLACK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SALT, HIMALAYAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SALT, KOSHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SALT, SEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SALT, SMOKED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SALT, TRUFFLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
SCALLIONS (aka GREEN ONIONS or SPRING ONIONS),,y,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SEEDS, HEMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SEEDS, PUMPKIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SEEDS, SUNFLOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
SHALLOTS,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
SNOW PEAS (aka CHINESE PEA PODS) (see also SUGAR SNAP PEAS),,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
SORREL,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
SPINACH,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, ALFALFA",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, BROCCOLI",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, CHICKPEA",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, CLOVER",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, DAIKON (see also SPROUTS, RADISH)",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, LENTIL",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, PEA",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"SPROUTS, SUNFLOWER SEED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
STAR FRUIT (aka CARAMBOLA),,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
STRAWBERRIES,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x
SUGAR SNAP PEAS (aka SNAP PEAS),,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x
"TOMATOES, SUN-DRIED (or OVEN-DRIED TOMATOES)",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x
"TOMATOES, TOMATO JUICE, TOMATO PASTE, and TOMATO SAUCE",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x
"VINEGAR, APPLE CIDER (aka VINEGAR, CIDER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x
"VINEGAR, BALSAMIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x
"VINEGAR, BROWN RICE (aka CHINESE BLACK VINEGAR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x
"VINEGAR, RED WINE (see also VINEGAR, WINE–IN GENERAL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x
"VINEGAR, RICE (WINE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x
"VINEGAR, SHERRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x
"VINEGAR, WINE—IN GENERAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x
WALNUTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
WATERMELON,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
"ZUCCHINI (see also SQUASH, SUMMER)",,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
