ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
ANISE SEEDS,[AN-iss],Flavor Affinities,,,"allspice

almonds

apples and applesauce

Asian cuisines

BAKED GOODS, e.g., biscotti, breads (esp. rye), cakes, cookies, pies, shortbread

beets

cabbage

cardamom

carrots

cauliflower

celery

cheese, e.g., goat, Munster, ricotta

chestnuts

Chinese cuisine

cinnamon

cloves

coffee

compotes

cranberries

cream

cumin

curry powder and curries (e.g., Indian)

dates

desserts

drinks

fennel and fennel seeds

FIGS

French cuisine, esp. Provençal

fruits, e.g., cooked, dried

garlic

ginger

hazelnuts

Italian cuisine

lemon

lentils

maple syrup

marinades

mayonnaise

[Eastern] Mediterranean cuisines

melon

Middle Eastern cuisines

Moroccan cuisine

nutmeg

nuts, e.g., almonds

orange

parsnips

peaches

pears

pepper, e.g., black

pickles

pineapple

pine nuts

plums, fresh or dried

Portuguese cuisine

pumpkin

quince

raisins

rhubarb

rice

salad dressings

salads, fruit

sauces, e.g., cream, mole, tomato

sauerkraut

Scandinavian cuisine

soups, e.g., sweet potato

Southeast Asian cuisines

star anise

STEWS, e.g., vegetable

strawberries

sugar

sweet potatoes

teas

tomatoes and tomato sauce

vanilla

vegetables, e.g., root

Vietnamese cuisine

walnuts

wine",Volume: moderate–loud,Tip: Add early in cooking.,,,,,"Botanical relatives: carrots, parsley",,,
ANISE HYSSOP (aka LICORICE MINT),,Flavor Affinities,,,"apricots

baked goods, e.g., cookies, scones

basil

beans, e.g., green

beets

berries, e.g., blackberries, blueberries, raspberries

beverages

carrots

cherries

chervil

chocolate

cream

currants

desserts, e.g., crisps, custards, pies

fennel

fruit, esp. summer

grains, e.g., bulgur, couscous

honey

ices and ice creams

lavender

lemon

lychees

melons, e.g., cantaloupe, honeydew

mint

nectarines

oranges

parsley

parsnips

peaches

pears

raspberries

rhubarb

rice

salads, e.g., fruit, grain, green

sauces, e.g., crème anglaise, custard

soups, e.g., melon

spinach

squash, winter

sweet potatoes

“tabboulehs”

teas

tomatoes

vegetables, root

watermelon

wine, e.g., sparkling and/or sweet

zucchini",Volume: quiet–moderate,,"Possible substitutes: anise, mint",,,Season: summer,Botanical relatives: mint,,,
"ANISE, STAR (see STAR ANISE)",,,,,,,,,,,,,,,
ANNATTO (see ACHIOTE),,,,,,,,,,,,,,,
"APPLES (and APPLE CIDER, APPLE JUICE and/or APPLESAUCE)",,Flavor Affinities,"Techniques: bake, caramelize, dry, fry (e.g., fritters), grill, juice, poach, puree, raw, sauté, stew","Dishes


Apple Cobbler: Walnut Crust and Layers of Apples, Cinnamon, and Agave, topped with Macadamia Vanilla Sauce

—118 Degrees (California)



Cinnamon Apple Sticks with Brandy Caramel Sauce

—Blossom (New York City)



Apple and Celery Salad with Hazelnut Vinaigrette, Cider Gelée, Young Mesclun

—DANIEL (New York City)



Salad of Honeycrisp Apples: Peanut Brittle, Celery Branch “Ribbons” and Condensed Milk Tuile

—Per Se (New York City)



Caramel Apple Beignets with Bourbon Caramel Sauce and Candied Pecans

—Plum Bistro (Seattle)



Honeycrisp Apple Tarte Tatin with Smoked Grand Marnier Ice Cream

—The Point (Saranac Lake, NY)","agave nectar

allspice

almonds

apple butter and applesauce

apricots

BAKED APPLES

BAKED GOODS, e.g., cakes, muffins, pies

bananas

beets

blackberries

blueberries

brandy, e.g., apple

butter

buttermilk

butterscotch

cabbage, e.g., red

Calvados

caramel

cardamom

carrots

cashews

cayenne

celery

celery root

CHEESE, e.g., blue, Camembert, cheddar, cream, feta, goat, Gorgonzola, Gruyère, Roquefort, white

cherries

chestnuts

chiles, e.g., chipotle, jalapeños

chutneys

cider, e.g., apple

*CINNAMON

cloves

coconut

compotes, fruit, e.g., apple

coriander

CRANBERRIES, dried or fresh

cream

crepes

cucumbers

currants, e.g., black

custards and flans

dates

DESSERTS, e.g., cobblers, crisps, crumbles

eggs

endive

fennel and fennel seeds

figs

fruit, dried, e.g., raisins

GINGER

GRAINS, e.g., amaranth, farro, kasha, millet, oats, quinoa, wheat berries

granola (esp. dried apples)

grapes

greens, salad

HONEY

horseradish

jícama

juices

kale

lamb’s lettuce

lavender

LEMON, e.g., juice, zest

lentils

lettuce, e.g., romaine

mace

MAPLE SYRUP

mascarpone

mint

molasses

muesli

mustard and mustard seeds

nutmeg

NUTS, e.g., almonds, hazelnuts, peanuts, pecans, pistachios, walnuts

OATS and OATMEAL

oil, nut, e.g., hazelnut, peanut, walnut

onions

oranges, e.g., juice, zest

parsnips

pears

pepper, black

phyllo dough

pine nuts

plums, e.g., dried, fresh

puddings

pumpkin

quince

RAISINS

raspberries

rhubarb

rice, e.g., basmati, brown, wild

rosemary

sage

SALADS, e.g., fennel, fruit, grain, green, Waldorf

sauerkraut

seeds, e.g., caraway, sesame, sunflower

slaws

sorrel

soups, e.g., butternut squash, sweet potato

sour cream

spinach

spirits, e.g., apple brandy, applejack, Armagnac, Calvados, cognac, Cointreau, Kirsch, Madeira, rum, sherry, vermouth

SQUASH, WINTER, e.g., acorn, butternut, delicata

stuffings

SUGAR, e.g., brown

sumac

SWEET POTATOES

trail mix, esp. dried apples

vanilla

verjus

vinegar, e.g., cider

WALNUTS

watercress

wine, red

yogurt

zucchini",Volume: quiet–moderate,"Tips: Opt for organic apples. Eat the peels, which are high in antioxidants. Buy sugar-free applesauce. Substitute applesauce for fat in baking recipes.",,Nutritional profile: 95% carbs / 3% fat / 2% protein,"Calories: 65 per 1-cup serving (chopped, raw)",Season: autumn,"Botanical relatives: apricots, blackberries, cherries, peaches, pears, plums, quinces, raspberries, strawberries",,What they are: fruit,"Cinnamon Apple Sticks with Brandy Caramel Sauce

—Blossom (New York City)"
,,,,,,,,,,,,,,,
"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)",[AN-iss],"Flavor: sour/sweet, with notes of almonds, honey, peaches, or plums, and a juicy, soft texture","Techniques: bake, broil, dried, grill, poach, raw, stew","Dishes


Almond Olive Oil Cake with Blackberries and Greek Yogurt

—True Food Kitchen (Santa Monica)





ALMONDS, MARCONA


Flavor: sweet/salty, with a rich, dense, crunchy texture



What they are: almonds from Spain



Calories: 180 per 1-ounce serving



Techniques: fry, raw



Tip: Marcona almonds are richer, softer, and sweeter than California almonds.



baked goods

beans, e.g., green

beets

cheeses, e.g., manchego

chickpeas

dates

desserts

figs

garlic

honey, e.g., orange blossom

lemon

maple syrup

oil, e.g., olive, sunflower

paprika, smoked

parsnips

quince paste

rosemary

salads, e.g., green, vegetable

salt

Spanish cuisine

squash, summer and winter

thyme

vegetables, root

vinegar, sherry





Flavor Affinities


Marcona almonds + green beans + lemon

Marcona almonds + manchego cheese + quince paste

Marcona almonds + olive oil + salt





AMARANTH (THE GRAIN) (see also GREENS, AMARANTH)


Flavor: slightly sweet, with earthy notes of corn, grass, malt, molasses, nuts, pepper, sesame seeds, spinach, and/or woods, and a somewhat creamy/sticky, porridge-like texture



Volume: quiet–moderate



What it is: considered a whole grain, even though not in the grain family



Gluten-free: yes



Nutritional profile: 74% carbs / 13% protein / 13% fat



Calories: 250 per 1-cup serving (cooked)



Protein: 9 grams



Techniques: pop, simmer, sprout, steam



Timing: Cook about 15–30 minutes, covered, until tender. (Do not overcook, or it will become gummy.)



Ratio: 1:3 (1 cup amaranth to 3 cups cooking liquid)



Tips: Toast lightly before cooking. If toasted long enough, grains will pop like popcorn and can be enjoyed as a snack or as a garnish on salads or vegetables.



Brands: Bob’s Red Mill, Hodgson Mill



Possible substitutes: cornmeal, polenta



almonds

apples and apple juice

baked goods, e.g., breads, cookies

beans, e.g., black, cannellini, pinto

blueberries

cabbage

cardamom

casseroles

CEREALS, e.g., hot breakfast

chia seeds

chickpeas

chili

chocolate, dark

cinnamon

corn

garlic

ginger

GRAINS, OTHER MILDER, e.g., buckwheat, bulgur, millet, quinoa, rice, wild rice

greens

honey

lemon

maple syrup

Mexican cuisine

milk

oil, e.g., olive

onions

orange, e.g., juice, zest

parsley

persimmons

pistachios

“polenta”

“popcorn”

porridges

puddings

raisins

salads, when popped or sprouted

scallions

SOUPS, e.g., bean, clear (used as a thickener or as a garnish when popped)

South American cuisines

soy sauce

spinach

stews

stock, vegetable

tamari

tomatoes, e.g., stuffed

veggie burgers

walnuts

yams

yogurt





Flavor Affinities


amaranth + almonds + bulgur + herbs

amaranth + apples + walnuts

amaranth + black beans + sweet potatoes

amaranth + cinnamon + maple syrup

amaranth + corn + pinto beans + scallions

amaranth + lemon + olive oil

amaranth + quinoa + wild rice

amaranth + raisins + soy milk





AMERICAN CUISINE (see also CAJUN/CREOLE CUISINE, SOUTHERN CUISINE, TEX-MEX CUISINE, etc.)


beans

blueberries

chives

corn

cranberries

grapes, Concord

maple syrup

peanuts

pecans

popcorn

pumpkin and pumpkin seeds

rice, wild

squash

sunflower seeds

vinegar, apple cider

walnuts





Flavor Affinities


dried cranberries + sunflower seeds + wild rice





ANISE SEEDS


[AN-iss]



Flavor: slightly sweet, with pungent notes of fruit and licorice



Volume: moderate–loud



Tip: Add early in cooking.



Botanical relatives: carrots, parsley



allspice

almonds

apples and applesauce

Asian cuisines

BAKED GOODS, e.g., biscotti, breads (esp. rye), cakes, cookies, pies, shortbread

beets

cabbage

cardamom

carrots

cauliflower

celery

cheese, e.g., goat, Munster, ricotta

chestnuts

Chinese cuisine

cinnamon

cloves

coffee

compotes

cranberries

cream

cumin

curry powder and curries (e.g., Indian)

dates

desserts

drinks

fennel and fennel seeds

FIGS

French cuisine, esp. Provençal

fruits, e.g., cooked, dried

garlic

ginger

hazelnuts

Italian cuisine

lemon

lentils

maple syrup

marinades

mayonnaise

[Eastern] Mediterranean cuisines

melon

Middle Eastern cuisines

Moroccan cuisine

nutmeg

nuts, e.g., almonds

orange

parsnips

peaches

pears

pepper, e.g., black

pickles

pineapple

pine nuts

plums, fresh or dried

Portuguese cuisine

pumpkin

quince

raisins

rhubarb

rice

salad dressings

salads, fruit

sauces, e.g., cream, mole, tomato

sauerkraut

Scandinavian cuisine

soups, e.g., sweet potato

Southeast Asian cuisines

star anise

STEWS, e.g., vegetable

strawberries

sugar

sweet potatoes

teas

tomatoes and tomato sauce

vanilla

vegetables, e.g., root

Vietnamese cuisine

walnuts

wine





Flavor Affinities


anise + cranberries + walnuts

anise + maple syrup + pine nuts + vanilla

anise + orange + pine nuts





ANISE HYSSOP (aka LICORICE MINT)


Season: summer



Flavor: sweet, with notes of licorice and mint



Volume: quiet–moderate



Botanical relatives: mint



Possible substitutes: anise, mint



apricots

baked goods, e.g., cookies, scones

basil

beans, e.g., green

beets

berries, e.g., blackberries, blueberries, raspberries

beverages

carrots

cherries

chervil

chocolate

cream

currants

desserts, e.g., crisps, custards, pies

fennel

fruit, esp. summer

grains, e.g., bulgur, couscous

honey

ices and ice creams

lavender

lemon

lychees

melons, e.g., cantaloupe, honeydew

mint

nectarines

oranges

parsley

parsnips

peaches

pears

raspberries

rhubarb

rice

salads, e.g., fruit, grain, green

sauces, e.g., crème anglaise, custard

soups, e.g., melon

spinach

squash, winter

sweet potatoes

“tabboulehs”

teas

tomatoes

vegetables, root

watermelon

wine, e.g., sparkling and/or sweet

zucchini





Flavor Affinities


anise hyssop + almonds + peaches

anise hyssop + beets + orange

anise hyssop + berries + cantaloupe + Moscato d’Asti

anise hyssop + blueberries + honey + lemon

anise hyssop + fennel + orange





ANISE, STAR (see STAR ANISE)





ANNATTO (see ACHIOTE)





APPLES (and APPLE CIDER, APPLE JUICE and/or APPLESAUCE)


Season: autumn



Flavor: sweet (and sometimes sour), with astringent notes of baking spices, honey, and/or lemon, and a crispy texture (when raw)



Volume: quiet–moderate



What they are: fruit



Nutritional profile: 95% carbs / 3% fat / 2% protein



Calories: 65 per 1-cup serving (chopped, raw)



Techniques: bake, caramelize, dry, fry (e.g., fritters), grill, juice, poach, puree, raw, sauté, stew



Tips: Opt for organic apples. Eat the peels, which are high in antioxidants. Buy sugar-free applesauce. Substitute applesauce for fat in baking recipes.



Botanical relatives: apricots, blackberries, cherries, peaches, pears, plums, quinces, raspberries, strawberries





agave nectar

allspice

almonds

apple butter and applesauce

apricots

BAKED APPLES

BAKED GOODS, e.g., cakes, muffins, pies

bananas

beets

blackberries

blueberries

brandy, e.g., apple

butter

buttermilk

butterscotch

cabbage, e.g., red

Calvados

caramel

cardamom

carrots

cashews

cayenne

celery

celery root

CHEESE, e.g., blue, Camembert, cheddar, cream, feta, goat, Gorgonzola, Gruyère, Roquefort, white

cherries

chestnuts

chiles, e.g., chipotle, jalapeños

chutneys

cider, e.g., apple

*CINNAMON

cloves

coconut

compotes, fruit, e.g., apple

coriander

CRANBERRIES, dried or fresh

cream

crepes

cucumbers

currants, e.g., black

custards and flans

dates

DESSERTS, e.g., cobblers, crisps, crumbles

eggs

endive

fennel and fennel seeds

figs

fruit, dried, e.g., raisins

GINGER

GRAINS, e.g., amaranth, farro, kasha, millet, oats, quinoa, wheat berries

granola (esp. dried apples)

grapes

greens, salad

HONEY

horseradish

jícama

juices

kale

lamb’s lettuce

lavender

LEMON, e.g., juice, zest

lentils

lettuce, e.g., romaine

mace

MAPLE SYRUP

mascarpone

mint

molasses

muesli

mustard and mustard seeds

nutmeg

NUTS, e.g., almonds, hazelnuts, peanuts, pecans, pistachios, walnuts

OATS and OATMEAL

oil, nut, e.g., hazelnut, peanut, walnut

onions

oranges, e.g., juice, zest

parsnips

pears

pepper, black

phyllo dough

pine nuts

plums, e.g., dried, fresh

puddings

pumpkin

quince

RAISINS

raspberries

rhubarb

rice, e.g., basmati, brown, wild

rosemary

sage

SALADS, e.g., fennel, fruit, grain, green, Waldorf

sauerkraut

seeds, e.g., caraway, sesame, sunflower

slaws

sorrel

soups, e.g., butternut squash, sweet potato

sour cream

spinach

spirits, e.g., apple brandy, applejack, Armagnac, Calvados, cognac, Cointreau, Kirsch, Madeira, rum, sherry, vermouth

SQUASH, WINTER, e.g., acorn, butternut, delicata

stuffings

SUGAR, e.g., brown

sumac

SWEET POTATOES

trail mix, esp. dried apples

vanilla

verjus

vinegar, e.g., cider

WALNUTS

watercress

wine, red

yogurt

zucchini





Flavor Affinities


apples + allspice + cinnamon + cloves + ginger + maple syrup + orange

apples + almonds + cinnamon + rosemary

apples + apple cider vinegar + greens + maple syrup + walnut oil

apples + blue cheese + celery

apples + brown sugar + caramel + cinnamon

apples + buttermilk + horseradish + sorrel

apples + caramel + nuts (e.g., peanuts, pecans)

apples + cheese (e.g., blue) + greens (e.g., salad, spinach) + nuts (e.g., pecans, walnuts)

apples + cinnamon + cranberries + ginger + maple + raisins + walnuts

apples + cinnamon + dates + oatmeal

apples + cinnamon + honey + lemon

apples + cinnamon + honey + vanilla + yogurt

apples + cinnamon +maple syrup + mascarpone

apples + cinnamon + maple syrup + rice

apples + cinnamon + nuts + raisins

apples + cinnamon + raisins + walnuts

APPLES + CLOVES + CRANBERRIES + ORANGES

apples + cucumbers + mint + yogurt

apples + fennel + walnuts

apples + figs + honey

apples + ginger + lemon + scallions + sesame seeds

apples + grains (e.g., oats, quinoa, wild rice) + nuts (e.g., walnuts)

apples + maple syrup (+ vanilla) + walnuts





Dishes


Apple Cobbler: Walnut Crust and Layers of Apples, Cinnamon, and Agave, topped with Macadamia Vanilla Sauce

—118 Degrees (California)



Cinnamon Apple Sticks with Brandy Caramel Sauce

—Blossom (New York City)



Apple and Celery Salad with Hazelnut Vinaigrette, Cider Gelée, Young Mesclun

—DANIEL (New York City)



Salad of Honeycrisp Apples: Peanut Brittle, Celery Branch “Ribbons” and Condensed Milk Tuile

—Per Se (New York City)



Caramel Apple Beignets with Bourbon Caramel Sauce and Candied Pecans

—Plum Bistro (Seattle)



Honeycrisp Apple Tarte Tatin with Smoked Grand Marnier Ice Cream

—The Point (Saranac Lake, NY)





APRICOTS (see also APRICOTS, DRIED)


Season: summer



Flavor: sour/sweet, with notes of almonds, honey, peaches, or plums, and a juicy, soft texture



Volume: moderate



Nutritional profile: 83% carbs / 10% protein / 7% fat



Calories: 20 per apricot



Techniques: bake, broil, dried, grill, poach, raw, stew



Botanical relatives: apples, blackberries, cherries, peaches, pears, plums, quinces, raspberries, strawberries





ALMONDS

apples

arugula

basil

bay leaf

beets

berries, e.g., blueberries

brandy

buttermilk

caramel

cardamom

carrots

cereals, e.g., hot breakfast

cheese, e.g., cottage, cream, goat, ricotta, soft white

cherries

chocolate, e.g., dark

chutneys

cinnamon

cloves

coconut

compotes

coriander

couscous

cranberries

cream

cumin

curry powder and curry spices

desserts, e.g., crisps, crumbles, custards

fennel and fennel seeds

figs

fruit, dried

garlic

ginger

grains, e.g., barley, bulgur, quinoa, rice, wheat berries

granola

grapefruit

hazelnuts

HONEY, e.g., chestnut

ice cream

jícama

juices

juices, fruit

Kirsch

lemon, e.g., juice, zest

lemongrass

lemon thyme

lime

mangoes

maple syrup

mascarpone

Middle Eastern cuisines

mint

nectarines

nutmeg

nuts, e.g., walnuts

onions

orange, e.g., juice, liqueur, zest

peaches

pecans

pepper, e.g., black, white

pilafs, rice

pineapple

pine nuts

pistachios

plums, e.g., dried, fresh

preserves

puddings, e.g., rice

raisins

raspberries

rice, e.g., brown

saffron

salads, e.g., fruit, rice

salsas

sesame, e.g., seeds

smoothies

sorbets

soups, e.g., fruit

sour cream

strawberries

sugar, e.g., brown, powdered

tagines, i.e., Moroccan stews

tarragon

tarts, e.g., fruit

thyme

VANILLA

vinegar, e.g., balsamic, white wine

yogurt

wine, e.g., sweet, white, e.g., Moscato d’Asti





Dishes


Apricots: Almonds, Olive Oil and Lemon Basil Ice Cream

—Blue Hill (New York City)

Poached Apricots with Toasted Meringue and Apricot Sorbet with Jasmine, Rolled Oats, Ricotta, Lemon

—Fearrington House (Fearrington Village, NC)","amaretto

anise

apples

apricots

arugula

baked goods, e.g., cookies, pie crusts, quick breads

bananas

barley

beans, green, e.g., French

bell peppers, e.g., red or yellow, esp. roasted

BERRIES, e.g., blackberries, blueberries, strawberries

beverages, e.g., chocolate

biryanis

brandy

bread/toast, seven-grain

broccoli

Brussels sprouts

bulgur

butter

cabbage, napa

candies

caramel

caraway seeds

cardamom

carrots

cauliflower

cayenne

celery

celery root

cheese, e.g., blue, cream, goat, manchego, ricotta, Romano, Stilton

CHERRIES

chiles, e.g., ancho, and chili powder

CHOCOLATE / COCOA /

CACAO NIBS

chocolate, e.g., dark, milk, white

cinnamon

citrus

coconut

coffee

cornmeal

couscous

cranberries

cream

cumin

currants, e.g., black

curries

DATES

desserts, e.g., mousses, puddings

dips

figs

FRUITS, e.g., dried, fresh, roasted

GARLIC

ginger

granola

grapes

greens, e.g., bitter, salad

hazelnuts

hiziki

HONEY

ice cream

icings, e.g., for cakes, cupcakes, etc.

Indian cuisine

kale

lavender

leeks

LEMON, e.g., juice, zest

lime, e.g., juice, zest

liqueurs, fruit (e.g., orange)

MAPLE SYRUP

mascarpone

Mediterranean cuisines

Middle Eastern cuisines

milk

molasses

Moroccan cuisine

muesli

mushrooms, e.g., chanterelle, portobello

mustard powder

nectarines

noodles, soba

nuts, other, e.g., walnuts

oats and oatmeal

oil, e.g., olive

olives

onions, e.g., red

ORANGE, e.g., juice, zest

paprika

passion fruit

PEACHES

pears

pecans

pepper, e.g., black

“pestos”

pilafs

pine nuts

pistachios

plums, e.g., dried, fresh

polenta

praline

quinces

raisins

raspberries

rhubarb

RICE, e.g., sweet

rose water

rosemary

rum

salads

salt, e.g., kosher, sea

SAUCES, e.g., mole, romesco

sesame, e.g., seeds

sherry

smoothies

soups, e.g., white gazpacho

soy sauce

Spanish cuisine

spiced almonds

spinach

spreads

strawberries

stuffings

sugar, e.g., brown

thyme

tofu

tomatoes

trail mix

Turkish cuisine

VANILLA

vinegar, e.g., champagne, sherry

watercress

yogurt

zucchini",Volume: moderate,"Tips: Opt for organic apples. Eat the peels, which are high in antioxidants. Buy sugar-free applesauce. Substitute applesauce for fat in baking recipes.","Possible substitutes: anise, mint",Nutritional profile: 83% carbs / 10% protein / 7% fat,Calories: 20 per apricot,Season: summer,"Botanical relatives: apples, blackberries, cherries, peaches, pears, plums, quinces, raspberries, strawberries",Protein: 9 grams,What they are: fruit,"Cinnamon Apple Sticks with Brandy Caramel Sauce

—Blossom (New York City)"
"APRICOTS, DRIED (see also APRICOTS)",,Flavor Affinities,"Techniques: poach, raw, stew",,"allspice

apples

baked goods, e.g., breads, cakes, cookies, muffins, pies

bananas

brandy

cabbage, e.g., napa

cayenne

cereals, cold or hot breakfast

cheese, e.g., Brie, goat, ricotta

chestnuts

chiles, e.g., green, serrano

chocolate

cinnamon

coconut

Cognac

compotes

couscous

cranberries

curry powder

desserts, e.g., custards

dried fruit, other, e.g., cherries, currants, plums, raisins

French toast

ginger

grains, e.g., bulgur

honey

jams and preserves

kale

lemon, e.g., juice, zest

lettuce, e.g., iceberg, romaine

lime

maple syrup

mascarpone

Middle Eastern cuisines

Moroccan cuisine

mint

NUTS, e.g., almonds, hazelnuts, pecans, pine nuts, pistachios

oats and oatmeal

orange, e.g., juice, zest

pancakes and crepes

parsley

pears

porridges

puddings, e.g., rice

raspberries

rice and wild rice

salads, e.g., fruit, grain

sauces

seeds, e.g., pumpkin

stews

stuffings

sugar, e.g., brown

sweet potatoes

tamarind paste

vanilla

vinegar, e.g., champagne, rice

walnuts

wine, sweet, e.g., Madeira, Muscat

zucchini",Volume: moderate,"Tip: Look for organic, unsulphured dried apricots.",,,Calories: 315 per 1-cup serving (uncooked),,,,,
ARAME (see also SEA VEGETABLES),[ah-rah-may or AIR-uh-may],Flavor Affinities,"Techniques: sauté, steam",,"almonds

apple juice

baked goods, e.g., breads, savory pastries, strudels, tarts, turnovers

bell peppers, e.g., red

broccoli

buckwheat

cabbage, e.g., Chinese, red

CARROTS

casseroles

cilantro

citrus

coriander

corn

cucumbers

dill

edamame

eggs, e.g., omelets, quiches

garlic

ginger, fresh

gomashio

greens, salad, esp. Asian, e.g., baby bok choy, mizuna, tatsoi

horseradish

Japanese cuisine

kale

lettuce

lotus root

mirin

miso

mushrooms, e.g., shiitake

mustard, e.g., spicy

noodles, Asian, e.g., soba, udon

oil, e.g., olive, sesame

onions, e.g., green, red

quiches

radishes

rice, brown

SALADS, e.g. cucumber, pasta

scallions

sea vegetables, other, e.g., hiziki, wakame

sesame, e.g., oil, paste, seeds

shoots, e.g., snow pea

snow peas

soups, e.g., split pea

soy sauce

squash, winter, e.g., buttercup, butternut

stews

stir-fries

strudels, e.g., phyllo dough

stuffed cabbage

stuffed peppers

sweeteners, e.g., agave nectar, maple syrup

tahini

tamari

tempeh

tofu

tofu scrambles

turmeric

turnips

vegetables

vinegar, e.g., brown rice, rice wine

wasabi",Volume: quiet,"Tip: Rinse well, then soak for 5–10 minutes before using.",,Nutritional profile: 80% carbs / 20% protein,Calories: 60 per 1-ounce serving,,,Protein: 2 grams,,
"ARROWROOT (aka ARROWROOT FLOUR, POWDER, or STARCH)",,Flavor: virtually none,,,"baked goods, e.g., biscuits, breads, cakes, cookies, muffins, pies,

scones

crepes

custards

desserts

flours, other

gravies

ice creams

milk, e.g., coconut

pie fillings

puddings

*SAUCES, e.g., fruit, sweet-and-sour

soups

stews

stir-fries",Volume: very quiet,"Tips: Dissolve in a little cold water before adding to sauces; or dissolve about one tablespoon of powder per cup of cold liquid before bringing it to a simmer. It becomes clear as it cooks. Stir constantly, and do not overheat, which makes arrowroot lose its thickening power.","Possible substitutes: cornstarch, flour, kuzu, tapioca starch",,,,,,,"Brand: Authentic Foods, Bob’s Red Mill"
ARTICHOKE HEARTS (see also ARTICHOKES),,Flavor Affinities,"Techniques: deep-fry, marinate, pickle, sauté (Note: never raw)","Dishes


Artichoke Dip: Artichoke Hearts, Fennel, Roasted Garlic, Red Peppers, and an assortment of Cheeses baked and served with House-Made Whole-Wheat Pita

—Laughing Seed Café (Asheville, NC)","almonds

arugula

basil

beans, e.g., cannellini, fava, white

bell peppers, e.g., red

bread crumbs

bulgur

capers

casseroles, e.g., rice

cheese, e.g., goat, mozzarella, Parmesan, pecorino, ricotta

chickpeas

couscous

crostini

crudités

dill

DIPS

eggplant

eggs, e.g., frittatas, poached

focaccia

fritters

garlic

gratins

horseradish

Italian cuisine

leeks

LEMON, e.g., juice, zest

MUSHROOMS, e.g., porcini, shiitake, wild

oil, e.g., olive

olives, e.g., black

onions, e.g., red, white

oregano

palm, hearts of

parsley

PASTAS, e.g., fettuccine, penne

peas

pepper, black

pesto

pine nuts

PIZZAS

potatoes

relishes

rice

risotto

SALADS, e.g., green, pasta, potato

scallions

soups

sorrel

SPINACH

thyme

tomatoes

tomatoes, sun-dried

Turkish cuisine

walnuts

wheat berries

wine, e.g., dry white

zucchini",Volume: quiet–moderate,"Tip: For ease, look for canned, frozen, or jarred.",,,,,,,What they are: vegetables (the inner part of artichoke buds),
